stream_id,corridor_id,timestamp,incline_tilt_deg,pore_pressure_kpa,acoustic_emission_db,precipitation_rate_mmh,surface_displacement_mm,ambient_temp_c,warning_state
TEL-00001,SEG-11,2026-08-30T14:01:02.400214,1.471,55.8,44.1,29.2,14.98,26.8,CRITICAL_SLOPE_MOVEMENT
TEL-00002,SEG-06,2026-08-30T14:03:26.400214,3.201,68.4,55.7,8.0,11.19,14.5,CRITICAL_SLOPE_MOVEMENT
TEL-00003,SEG-11,2026-08-30T14:05:50.400214,2.43,16.7,52.6,24.8,7.67,26.6,WARNING_ELEVATED_PORE_PRESSURE
TEL-00004,SEG-09,2026-08-30T14:08:14.400214,0.203,16.9,44.7,22.2,0.19,18.5,STABLE_NOMINAL
TEL-00005,SEG-06,2026-08-30T14:10:38.400214,2.738,69.8,39.7,40.6,15.81,23.7,CRITICAL_SLOPE_MOVEMENT
TEL-00006,SEG-11,2026-08-30T14:13:02.400214,0.76,81.5,39.9,40.0,7.67,18.3,CRITICAL_SLOPE_MOVEMENT
TEL-00007,SEG-01,2026-08-30T14:15:26.400214,1.144,74.6,71.6,38.7,1.39,16.7,CRITICAL_SLOPE_MOVEMENT
TEL-00008,SEG-15,2026-08-30T14:17:50.400214,2.855,47.2,77.0,2.3,11.76,27.2,WARNING_ELEVATED_PORE_PRESSURE
TEL-00009,SEG-04,2026-08-30T14:20:14.400214,3.452,67.9,60.5,41.8,4.33,25.2,CRITICAL_SLOPE_MOVEMENT
TEL-00010,SEG-01,2026-08-30T14:22:38.400214,2.31,21.3,57.5,2.6,8.47,19.5,WARNING_ELEVATED_PORE_PRESSURE
TEL-00011,SEG-16,2026-08-30T14:25:02.400214,1.0,50.4,62.0,25.9,12.11,27.5,CRITICAL_SLOPE_MOVEMENT
TEL-00012,SEG-13,2026-08-30T14:27:26.400214,3.711,36.6,36.2,11.8,7.89,14.8,CRITICAL_SLOPE_MOVEMENT
TEL-00013,SEG-06,2026-08-30T14:29:50.400214,3.587,20.0,40.3,27.0,9.6,25.2,CRITICAL_SLOPE_MOVEMENT
TEL-00014,SEG-01,2026-08-30T14:32:14.400214,2.175,76.5,67.2,26.5,15.42,16.4,CRITICAL_SLOPE_MOVEMENT
TEL-00015,SEG-01,2026-08-30T14:34:38.400214,3.105,28.9,51.9,1.7,15.51,25.4,CRITICAL_SLOPE_MOVEMENT
TEL-00016,SEG-09,2026-08-30T14:37:02.400214,0.368,22.5,39.0,25.8,7.65,24.3,WARNING_ELEVATED_PORE_PRESSURE
TEL-00017,SEG-05,2026-08-30T14:39:26.400214,1.567,56.5,39.0,5.5,5.43,27.0,WARNING_ELEVATED_PORE_PRESSURE
TEL-00018,SEG-11,2026-08-30T14:41:50.400214,0.867,59.8,53.3,35.8,0.48,15.7,WARNING_ELEVATED_PORE_PRESSURE
TEL-00019,SEG-05,2026-08-30T14:44:14.400214,3.006,55.1,25.4,42.7,7.5,16.6,CRITICAL_SLOPE_MOVEMENT
