event_id,corridor_id,corridor_name,state,latitude,longitude,elevation_m,slope_gradient_deg,terrain_ruggedness_index,rock_type,drainage_condition,daily_traffic_pcu,event_year,event_month,event_day,rainfall_24h_mm,rainfall_72h_mm,seasonal_rainfall_mm,annual_rainfall_mm,soil_moisture_pct,pore_water_pressure_kpa,vegetation_cover_pct,disruption_severity,disruption_binary,clearance_duration_hours,economic_loss_lakhs
EVT-NER-2018-10000,SEG-04,NH-13 Bhalukpong-Bomdila Trans-Arunachal,Arunachal Pradesh,27.1519,92.3007,1935.2,45.6,0.924,Gneiss & Schist,POOR_GULLY,3052,2018,2,8,0.8,0.9,1800.0,2400,18.2,5.5,68.0,LOW,0,0.0,0.0
EVT-NER-2021-10001,SEG-14,NH-715 Jorhat-Kaziranga Floodway,Assam,26.7108,93.4776,50,7.9,0.314,Shale & Siltstone,POOR_GULLY,9515,2021,8,26,70.9,206.8,1612.5,2150,67.8,75.7,46.5,MEDIUM,1,10.9,31.9
EVT-NER-2025-10002,SEG-02,NH-6 Guwahati-Shillong Expressway,Meghalaya,25.7656,91.9788,1004.6,40.1,0.832,Gneiss & Schist,CRITICAL_BLOCKED_CULVERT,13925,2025,9,3,163.9,336.8,2175.0,2900,94.3,128.1,76.3,HIGH,1,106.4,455.9
EVT-NER-2023-10003,SEG-15,Mon-Sonari Foothill Bypass,Nagaland,26.8011,95.0105,610.9,30.0,0.802,Alluvial Silt,WELL_DRAINED_BERM,1750,2023,8,7,131.5,301.6,1650.0,2200,86.8,111.1,80.5,HIGH,1,88.2,375.5
EVT-NER-2018-10004,SEG-11,NH-54 Aizawl-Lunglei Ridge Route,Mizoram,23.3946,92.6703,1272.7,48.2,0.94,Alluvial Silt,WELL_DRAINED_BERM,2247,2018,6,26,89.8,250.2,1912.5,2550,83.1,93.8,33.4,HIGH,1,94.0,419.9
EVT-NER-2024-10005,SEG-14,NH-715 Jorhat-Kaziranga Floodway,Assam,26.5981,93.4767,197.3,5.0,0.296,Alluvial Silt,WELL_DRAINED_BERM,10467,2024,7,17,159.3,432.6,1612.5,2150,99.8,130.6,53.1,HIGH,1,43.6,229.4
EVT-NER-2019-10006,SEG-01,NH-27 Guwahati-Nagaon Corridor,Assam,26.11,92.1623,50,12.1,0.443,Sedimentary Sandstone,MODERATE_NATURAL,14912,2019,10,25,211.2,644.4,1575.0,2100,99.8,148.8,31.4,HIGH,1,81.8,394.8
EVT-NER-2020-10007,SEG-07,NH-2 Kohima-Imphal Lifeline Corridor,Manipur,25.286,94.1467,1379.6,38.4,0.838,Sedimentary Sandstone,MODERATE_NATURAL,3965,2020,7,18,51.3,124.9,1350.0,1800,62.2,64.6,77.7,MEDIUM,1,22.9,54.4
EVT-NER-2019-10008,SEG-16,Haflong-Silchar Hill Track (Dima Hasao),Assam,25.0677,92.8979,1096.7,43.3,0.934,Quartzite,MODERATE_NATURAL,3810,2019,5,25,15.2,26.9,2100.0,2800,23.4,7.0,48.9,MEDIUM,1,17.4,47.1
EVT-NER-2019-10009,SEG-15,Mon-Sonari Foothill Bypass,Nagaland,26.6063,94.9662,587.1,29.1,0.813,Shale & Siltstone,CRITICAL_BLOCKED_CULVERT,1580,2019,6,11,41.2,85.7,1650.0,2200,54.3,55.1,39.3,MEDIUM,1,17.4,44.8
