record_id,district_id,district_name,state,latitude,longitude,year,month,monthly_normal_mm,actual_rainfall_mm,deviation_pct,max_24h_rainfall_mm,cloudburst_events_count,monsoon_intensity_tier,mean_temp_c,humidity_pct,soil_saturation_index
MET-AS-KAM-2015-01,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2015,1,27.3,23.0,-15.8,14.9,0,DRY_PERIOD,21.5,63.4,0.391
MET-AS-KAM-2015-02,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2015,2,27.3,21.7,-20.5,10.8,0,DRY_PERIOD,24.0,67.2,0.369
MET-AS-KAM-2015-03,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2015,3,27.3,20.5,-24.9,10.0,0,DRY_PERIOD,27.2,71.5,0.348
MET-AS-KAM-2015-04,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2015,4,109.2,97.7,-10.5,49.6,0,MODERATE_SHOWERS,28.9,76.2,0.585
MET-AS-KAM-2015-05,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2015,5,254.8,183.2,-28.1,45.0,0,MODERATE_SHOWERS,26.4,76.4,0.47
MET-AS-KAM-2015-06,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2015,6,400.4,505.6,26.3,176.9,1,SEVERE_MONSOON_BURST,26.9,99.0,0.826
MET-AS-KAM-2015-07,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2015,7,400.4,299.3,-25.2,76.3,0,HEAVY_MONSOON,25.8,93.3,0.489
MET-AS-KAM-2015-08,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2015,8,400.4,510.8,27.6,215.6,1,SEVERE_MONSOON_BURST,28.1,97.0,0.834
MET-AS-KAM-2015-09,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2015,9,254.8,266.4,4.6,89.0,0,HEAVY_MONSOON,27.8,82.3,0.684
MET-AS-KAM-2015-10,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2015,10,109.2,173.8,59.2,66.4,0,MODERATE_SHOWERS,28.7,81.8,1.0
MET-AS-KAM-2015-11,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2015,11,27.3,44.6,63.4,33.4,0,DRY_PERIOD,25.9,60.2,0.758
MET-AS-KAM-2015-12,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2015,12,27.3,47.1,72.5,26.6,0,DRY_PERIOD,21.5,67.3,0.801
MET-AS-KAM-2016-01,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2016,1,27.3,30.9,13.2,22.8,0,DRY_PERIOD,23.7,69.4,0.525
MET-AS-KAM-2016-02,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2016,2,27.3,41.4,51.6,31.2,0,DRY_PERIOD,23.8,70.3,0.704
MET-AS-KAM-2016-03,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2016,3,27.3,30.0,9.9,12.7,0,DRY_PERIOD,26.2,63.1,0.51
MET-AS-KAM-2016-04,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2016,4,109.2,155.1,42.0,62.2,0,MODERATE_SHOWERS,27.3,78.5,0.929
MET-AS-KAM-2016-05,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2016,5,254.8,257.7,1.1,79.1,0,HEAVY_MONSOON,28.5,77.1,0.661
MET-AS-KAM-2016-06,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2016,6,400.4,492.4,23.0,192.8,0,SEVERE_MONSOON_BURST,28.5,99.0,0.804
MET-AS-KAM-2016-07,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2016,7,400.4,269.1,-32.8,100.3,0,HEAVY_MONSOON,28.9,78.4,0.439
