inspection_id,corridor_id,km_milestone,damage_class,pothole_depth_cm,crack_length_m,debris_volume_cum,severity_tier,recommended_action,ai_confidence_pct,reported_by_agent,requires_pwd_validation,lat,lon
INS-DMG-1000,SEG-14,131.1,Pothole,7.1,1.1,0.0,TIER_1_ROUTINE_MONITORING,CONTINUE_NORMAL_OPERATION,91.2,NERALIS-EdgeVision-v2.4,False,26.6,93.4
INS-DMG-1001,SEG-11,116.5,Debris / Rockfall Deposit,6.1,8.3,124.6,TIER_3_CRITICAL_EMERGENCY,MANDATORY_CLOSURE_BRO_EARTHMOVER,93.7,NERALIS-EdgeVision-v2.4,True,23.45,92.74
INS-DMG-1002,SEG-13,105.7,Pothole,6.3,0.4,0.5,TIER_1_ROUTINE_MONITORING,CONTINUE_NORMAL_OPERATION,91.7,NERALIS-EdgeVision-v2.4,False,27.52,88.58
INS-DMG-1003,SEG-03,125.4,Longitudinal / Transverse Crack,7.6,13.4,0.0,TIER_2_MODERATE_HAZARD,SEAL_CRACK_WATERPROOFING,93.8,NERALIS-EdgeVision-v2.4,True,25.12,92.36
INS-DMG-1004,SEG-12,86.6,Pothole,19.3,1.1,0.4,TIER_2_MODERATE_HAZARD,SPEED_RESTRICTION_PWD_PATCHING,95.5,NERALIS-EdgeVision-v2.4,True,27.1,88.48
INS-DMG-1005,SEG-08,59.2,Longitudinal / Transverse Crack,1.7,14.6,0.1,TIER_2_MODERATE_HAZARD,SEAL_CRACK_WATERPROOFING,88.2,NERALIS-EdgeVision-v2.4,True,25.72,93.88
INS-DMG-1006,SEG-12,101.3,Pothole,11.4,1.8,0.2,TIER_1_ROUTINE_MONITORING,CONTINUE_NORMAL_OPERATION,91.0,NERALIS-EdgeVision-v2.4,False,27.1,88.48
INS-DMG-1007,SEG-13,49.6,Debris / Rockfall Deposit,9.2,8.8,58.8,TIER_3_CRITICAL_EMERGENCY,MANDATORY_CLOSURE_BRO_EARTHMOVER,94.8,NERALIS-EdgeVision-v2.4,True,27.52,88.58
INS-DMG-1008,SEG-01,122.5,Longitudinal / Transverse Crack,4.3,15.5,0.1,TIER_2_MODERATE_HAZARD,SEAL_CRACK_WATERPROOFING,88.5,NERALIS-EdgeVision-v2.4,True,26.18,92.12
INS-DMG-1009,SEG-11,4.0,Pothole,6.9,0.9,0.2,TIER_1_ROUTINE_MONITORING,CONTINUE_NORMAL_OPERATION,90.3,NERALIS-EdgeVision-v2.4,False,23.45,92.74
INS-DMG-1010,SEG-12,108.2,Debris / Rockfall Deposit,4.0,8.1,55.0,TIER_3_CRITICAL_EMERGENCY,MANDATORY_CLOSURE_BRO_EARTHMOVER,96.6,NERALIS-EdgeVision-v2.4,True,27.1,88.48
INS-DMG-1011,SEG-15,65.9,Washout / Roadbed Erosion,114.5,45.7,37.4,TIER_3_CRITICAL_EMERGENCY,MANDATORY_CLOSURE_BRO_EARTHMOVER,93.2,NERALIS-EdgeVision-v2.4,True,26.75,94.95
INS-DMG-1012,SEG-03,16.6,Pothole,5.5,1.5,0.1,TIER_1_ROUTINE_MONITORING,CONTINUE_NORMAL_OPERATION,90.6,NERALIS-EdgeVision-v2.4,False,25.12,92.36
INS-DMG-1013,SEG-07,37.3,Intact / Minor Surface Wear,1.3,0.2,0.0,TIER_1_ROUTINE_MONITORING,CONTINUE_NORMAL_OPERATION,95.1,NERALIS-EdgeVision-v2.4,False,25.15,94.02
INS-DMG-1014,SEG-02,11.1,Pothole,13.3,1.0,0.3,TIER_2_MODERATE_HAZARD,SPEED_RESTRICTION_PWD_PATCHING,89.5,NERALIS-EdgeVision-v2.4,True,25.75,91.88
INS-DMG-1015,SEG-16,75.4,Pothole,12.0,1.7,0.0,TIER_1_ROUTINE_MONITORING,CONTINUE_NORMAL_OPERATION,91.4,NERALIS-EdgeVision-v2.4,False,25.18,92.85
INS-DMG-1016,SEG-11,20.2,Longitudinal / Transverse Crack,4.0,13.3,0.1,TIER_2_MODERATE_HAZARD,SEAL_CRACK_WATERPROOFING,90.7,NERALIS-EdgeVision-v2.4,True,23.45,92.74
INS-DMG-1017,SEG-11,119.5,Debris / Rockfall Deposit,1.9,21.0,127.3,TIER_3_CRITICAL_EMERGENCY,MANDATORY_CLOSURE_BRO_EARTHMOVER,98.8,NERALIS-EdgeVision-v2.4,True,23.45,92.74
INS-DMG-1018,SEG-12,126.0,Longitudinal / Transverse Crack,7.1,7.9,0.1,TIER_2_MODERATE_HAZARD,SEAL_CRACK_WATERPROOFING,86.4,NERALIS-EdgeVision-v2.4,True,27.1,88.48
INS-DMG-1019,SEG-13,125.2,Longitudinal / Transverse Crack,1.7,7.2,0.1,TIER_2_MODERATE_HAZARD,SEAL_CRACK_WATERPROOFING,89.0,NERALIS-EdgeVision-v2.4,True,27.52,88.58
INS-DMG-1020,SEG-03,16.7,Debris / Rockfall Deposit,6.0,21.5,45.2,TIER_3_CRITICAL_EMERGENCY,MANDATORY_CLOSURE_BRO_EARTHMOVER,97.3,NERALIS-EdgeVision-v2.4,True,25.12,92.36
INS-DMG-1021,SEG-14,17.1,Pothole,14.3,1.4,0.2,TIER_2_MODERATE_HAZARD,SPEED_RESTRICTION_PWD_PATCHING,90.6,NERALIS-EdgeVision-v2.4,True,26.6,93.4
INS-DMG-1022,SEG-07,73.8,Longitudinal / Transverse Crack,6.0,12.2,0.1,TIER_2_MODERATE_HAZARD,SEAL_CRACK_WATERPROOFING,89.6,NERALIS-EdgeVision-v2.4,True,25.15,94.02
INS-DMG-1023,SEG-05,25.2,Debris / Rockfall Deposit,2.9,10.6,75.3,TIER_3_CRITICAL_EMERGENCY,MANDATORY_CLOSURE_BRO_EARTHMOVER,95.5,NERALIS-EdgeVision-v2.4,True,27.51,92.1
INS-DMG-1024,SEG-12,48.4,Pothole,10.1,1.3,0.3,TIER_1_ROUTINE_MONITORING,CONTINUE_NORMAL_OPERATION,94.8,NERALIS-EdgeVision-v2.4,False,27.1,88.48
INS-DMG-1025,SEG-06,49.1,Longitudinal / Transverse Crack,2.8,10.8,0.1,TIER_2_MODERATE_HAZARD,SEAL_CRACK_WATERPROOFING,92.3,NERALIS-EdgeVision-v2.4,True,25.8,93.95
INS-DMG-1026,SEG-12,63.9,Intact / Minor Surface Wear,0.2,0.2,0.0,TIER_1_ROUTINE_MONITORING,CONTINUE_NORMAL_OPERATION,93.3,NERALIS-EdgeVision-v2.4,False,27.1,88.48
INS-DMG-1027,SEG-14,9.2,Debris / Rockfall Deposit,1.1,39.3,5.8,TIER_3_CRITICAL_EMERGENCY,MANDATORY_CLOSURE_BRO_EARTHMOVER,97.2,NERALIS-EdgeVision-v2.4,True,26.6,93.4
INS-DMG-1028,SEG-14,73.9,Intact / Minor Surface Wear,1.7,0.4,0.0,TIER_1_ROUTINE_MONITORING,CONTINUE_NORMAL_OPERATION,96.7,NERALIS-EdgeVision-v2.4,False,26.6,93.4
INS-DMG-1029,SEG-08,13.2,Longitudinal / Transverse Crack,5.1,12.5,0.2,TIER_2_MODERATE_HAZARD,SEAL_CRACK_WATERPROOFING,89.2,NERALIS-EdgeVision-v2.4,True,25.72,93.88
INS-DMG-1030,SEG-04,85.7,Pothole,6.7,0.7,0.5,TIER_1_ROUTINE_MONITORING,CONTINUE_NORMAL_OPERATION,94.0,NERALIS-EdgeVision-v2.4,False,27.26,92.42
INS-DMG-1031,SEG-10,15.8,Debris / Rockfall Deposit,4.6,35.3,14.5,TIER_3_CRITICAL_EMERGENCY,MANDATORY_CLOSURE_BRO_EARTHMOVER,97.2,NERALIS-EdgeVision-v2.4,True,24.2,92.15
INS-DMG-1032,SEG-04,8.1,Debris / Rockfall Deposit,0.6,27.5,31.9,TIER_3_CRITICAL_EMERGENCY,MANDATORY_CLOSURE_BRO_EARTHMOVER,97.5,NERALIS-EdgeVision-v2.4,True,27.26,92.42
INS-DMG-1033,SEG-07,58.3,Longitudinal / Transverse Crack,3.8,8.8,0.1,TIER_2_MODERATE_HAZARD,SEAL_CRACK_WATERPROOFING,91.3,NERALIS-EdgeVision-v2.4,True,25.15,94.02
INS-DMG-1034,SEG-05,24.8,Washout / Roadbed Erosion,109.5,10.2,38.7,TIER_3_CRITICAL_EMERGENCY,MANDATORY_CLOSURE_BRO_EARTHMOVER,95.3,NERALIS-EdgeVision-v2.4,True,27.51,92.1
INS-DMG-1035,SEG-04,101.3,Debris / Rockfall Deposit,0.1,28.0,121.2,TIER_3_CRITICAL_EMERGENCY,MANDATORY_CLOSURE_BRO_EARTHMOVER,92.9,NERALIS-EdgeVision-v2.4,True,27.26,92.42
INS-DMG-1036,SEG-13,122.6,Longitudinal / Transverse Crack,7.8,8.8,0.1,TIER_2_MODERATE_HAZARD,SEAL_CRACK_WATERPROOFING,91.0,NERALIS-EdgeVision-v2.4,True,27.52,88.58
INS-DMG-1037,SEG-06,80.7,Pothole,11.5,0.9,0.5,TIER_1_ROUTINE_MONITORING,CONTINUE_NORMAL_OPERATION,96.6,NERALIS-EdgeVision-v2.4,False,25.8,93.95
INS-DMG-1038,SEG-09,94.2,Pothole,13.0,0.8,0.3,TIER_2_MODERATE_HAZARD,SPEED_RESTRICTION_PWD_PATCHING,94.5,NERALIS-EdgeVision-v2.4,True,24.8,93.45
INS-DMG-1039,SEG-10,135.6,Washout / Roadbed Erosion,89.3,3.5,6.7,TIER_3_CRITICAL_EMERGENCY,MANDATORY_CLOSURE_BRO_EARTHMOVER,97.7,NERALIS-EdgeVision-v2.4,True,24.2,92.15
INS-DMG-1040,SEG-14,87.0,Washout / Roadbed Erosion,16.2,11.6,34.0,TIER_3_CRITICAL_EMERGENCY,MANDATORY_CLOSURE_BRO_EARTHMOVER,98.5,NERALIS-EdgeVision-v2.4,True,26.6,93.4
INS-DMG-1041,SEG-01,135.0,Debris / Rockfall Deposit,2.3,22.5,65.0,TIER_3_CRITICAL_EMERGENCY,MANDATORY_CLOSURE_BRO_EARTHMOVER,93.8,NERALIS-EdgeVision-v2.4,True,26.18,92.12
INS-DMG-1042,SEG-10,56.2,Washout / Roadbed Erosion,25.1,58.4,31.8,TIER_3_CRITICAL_EMERGENCY,MANDATORY_CLOSURE_BRO_EARTHMOVER,93.3,NERALIS-EdgeVision-v2.4,True,24.2,92.15
INS-DMG-1043,SEG-06,32.9,Washout / Roadbed Erosion,100.4,57.3,17.7,TIER_3_CRITICAL_EMERGENCY,MANDATORY_CLOSURE_BRO_EARTHMOVER,96.0,NERALIS-EdgeVision-v2.4,True,25.8,93.95
INS-DMG-1044,SEG-04,90.3,Intact / Minor Surface Wear,0.8,0.2,0.0,TIER_1_ROUTINE_MONITORING,CONTINUE_NORMAL_OPERATION,95.7,NERALIS-EdgeVision-v2.4,False,27.26,92.42
INS-DMG-1045,SEG-16,78.5,Washout / Roadbed Erosion,51.9,55.2,23.0,TIER_3_CRITICAL_EMERGENCY,MANDATORY_CLOSURE_BRO_EARTHMOVER,93.0,NERALIS-EdgeVision-v2.4,True,25.18,92.85
INS-DMG-1046,SEG-06,38.5,Pothole,9.1,1.8,0.4,TIER_1_ROUTINE_MONITORING,CONTINUE_NORMAL_OPERATION,91.0,NERALIS-EdgeVision-v2.4,False,25.8,93.95
INS-DMG-1047,SEG-15,74.6,Pothole,7.2,1.6,0.4,TIER_1_ROUTINE_MONITORING,CONTINUE_NORMAL_OPERATION,90.4,NERALIS-EdgeVision-v2.4,False,26.75,94.95
INS-DMG-1048,SEG-10,120.8,Longitudinal / Transverse Crack,5.2,8.6,0.1,TIER_2_MODERATE_HAZARD,SEAL_CRACK_WATERPROOFING,85.4,NERALIS-EdgeVision-v2.4,True,24.2,92.15
